timestamp,rmssd,coverage,low_frequency,high_frequency
2025-02-13T19:05:00,33.031,0.954,1040.71,316.129
2025-02-13T19:10:00,22.223,1.004,819.045,160.021
2025-02-13T19:15:00,22.691,0.949,781.891,102.574
2025-02-13T19:20:00,24.797,0.908,504.879,101.823
2025-02-13T19:25:00,45.956,0.868,2140.83,275.556
2025-02-13T19:30:00,47.436,0.946,1147.605,565.376
2025-02-13T19:35:00,43.518,1.003,1163.439,469.42
2025-02-13T19:40:00,43.805,0.939,2335.676,488.199
2025-02-13T19:45:00,41.625,1.0,1489.388,306.082
2025-02-13T19:50:00,46.007,1.004,1600.528,626.968
2025-02-13T19:55:00,45.078,1.003,1547.396,514.254
2025-02-13T20:00:00,42.92,1.0,3594.741,340.793
2025-02-13T20:05:00,32.139,0.898,1195.926,134.477
2025-02-13T20:10:00,49.361,0.937,9190.776,371.28
2025-02-13T20:15:00,25.627,1.003,1826.461,170.528
2025-02-13T20:20:00,28.396,0.981,383.22,159.806
2025-02-13T20:25:00,40.912,0.99,1109.549,299.111
2025-02-13T20:30:00,54.695,0.95,2375.953,741.906
2025-02-13T20:35:00,54.483,0.991,3291.955,784.745
2025-02-13T20:40:00,43.782,0.933,1986.944,271.402
2025-02-13T20:45:00,36.336,0.966,2752.427,226.795
2025-02-13T20:50:00,30.388,0.975,915.589,160.836
2025-02-13T20:55:00,31.714,0.952,922.169,241.169
2025-02-13T21:00:00,38.536,0.982,2109.524,323.083
2025-02-13T21:05:00,49.9,0.951,2883.537,609.488
2025-02-13T21:10:00,50.35,0.964,2846.822,630.422
2025-02-13T21:15:00,54.809,0.991,2586.826,743.736
2025-02-13T21:20:00,55.198,0.986,2224.885,937.005
2025-02-13T21:25:00,50.045,0.999,2095.543,754.685
2025-02-13T21:30:00,48.708,1.004,2301.402,720.586
2025-02-13T21:35:00,47.997,0.933,4064.351,444.056
2025-02-13T21:40:00,45.679,0.97,2461.147,464.612
2025-02-13T21:45:00,48.759,0.888,2850.286,487.615
2025-02-13T21:50:00,48.496,0.939,1929.743,419.15
2025-02-13T21:55:00,22.054,0.973,1943.032,94.027
2025-02-13T22:00:00,15.484,0.988,896.569,42.46
2025-02-13T22:05:00,30.111,0.996,1285.297,110.924
2025-02-13T22:10:00,33.933,0.99,3947.095,187.799
2025-02-13T22:15:00,26.202,0.999,1164.674,214.634
2025-02-13T22:20:00,30.333,0.954,2275.067,181.339
2025-02-13T22:25:00,36.876,0.991,2148.001,502.923
2025-02-13T22:30:00,34.116,1.0,1546.062,241.472
2025-02-13T22:35:00,37.029,0.998,1637.927,254.773
2025-02-13T22:40:00,39.811,0.983,2743.8,348.835
2025-02-13T22:45:00,26.615,0.978,866.76,105.179
2025-02-13T22:50:00,40.389,0.978,2512.693,393.765
2025-02-13T22:55:00,43.527,0.972,1824.411,461.699
2025-02-13T23:00:00,36.492,0.946,1297.816,367.103
2025-02-13T23:05:00,37.872,1.002,1246.327,244.117
2025-02-13T23:10:00,36.964,0.969,2418.016,243.454
2025-02-13T23:15:00,37.17,0.988,802.102,213.19
2025-02-13T23:20:00,43.659,1.004,1149.284,512.763
2025-02-13T23:25:00,35.415,0.985,739.411,239.269
2025-02-13T23:30:00,37.978,0.986,1244.647,322.934
2025-02-13T23:35:00,40.355,0.959,2273.435,244.342
2025-02-13T23:40:00,44.347,0.996,1274.886,490.014
2025-02-13T23:45:00,45.006,0.918,3443.193,366.996
2025-02-13T23:50:00,46.643,1.006,4228.475,423.939
2025-02-13T23:55:00,52.863,0.976,2862.405,454.606
