timestamp,rmssd,coverage,low_frequency,high_frequency
2024-01-26T00:00:00,20.89,0.981,639.922,192.269
2024-01-26T00:05:00,24.577,0.988,1260.831,233.31
2024-01-26T00:10:00,30.845,0.948,1779.786,358.294
2024-01-26T00:15:00,30.027,0.99,1997.377,211.036
2024-01-26T00:20:00,28.37,0.999,1239.168,301.378
2024-01-26T00:25:00,24.257,0.981,650.569,334.506
2024-01-26T00:30:00,26.028,0.978,1717.895,441.503
2024-01-26T00:35:00,12.679,0.897,337.516,76.501
2024-01-26T00:40:00,15.07,0.962,579.938,102.188
2024-01-26T00:45:00,17.374,0.944,787.735,148.25
2024-01-26T00:50:00,15.838,0.973,497.29,92.784
2024-01-26T00:55:00,16.537,0.912,561.649,72.983
2024-01-26T01:00:00,17.873,0.95,525.588,161.311
2024-01-26T01:05:00,17.516,0.835,565.819,82.445
2024-01-26T01:10:00,17.245,0.936,474.358,114.679
2024-01-26T01:15:00,14.641,0.978,305.399,110.453
2024-01-26T01:20:00,15.973,0.972,275.157,97.668
2024-01-26T01:25:00,17.821,0.887,1031.825,119.053
2024-01-26T01:30:00,13.828,0.935,274.894,74.038
2024-01-26T01:35:00,20.275,0.898,905.668,115.707
2024-01-26T01:40:00,15.902,0.816,533.613,66.752
2024-01-26T01:45:00,22.4,0.974,839.696,157.272
2024-01-26T01:50:00,21.67,0.901,639.775,196.625
2024-01-26T01:55:00,23.935,0.962,1220.706,234.829
2024-01-26T02:00:00,27.148,0.961,831.314,360.805
2024-01-26T02:05:00,23.531,0.987,1175.199,253.478
2024-01-26T02:10:00,31.68,0.924,1558.273,365.971
2024-01-26T02:15:00,26.09,0.962,669.009,318.858
2024-01-26T02:20:00,31.37,0.925,1056.243,345.06
2024-01-26T02:25:00,34.323,0.957,2217.419,475.645
2024-01-26T02:30:00,32.843,0.979,1325.105,604.355
2024-01-26T02:35:00,42.662,0.921,2426.31,633.94
2024-01-26T02:40:00,16.406,0.992,474.516,99.019
2024-01-26T02:45:00,8.543,0.983,179.987,33.285
2024-01-26T02:50:00,11.309,1.002,209.573,37.1
2024-01-26T02:55:00,17.415,0.961,452.316,71.714
2024-01-26T03:00:00,26.341,1.002,2524.162,354.496
2024-01-26T03:05:00,27.067,0.988,1250.293,149.173
2024-01-26T03:10:00,24.865,1.002,1199.446,147.911
2024-01-26T03:15:00,30.092,0.964,1713.158,181.206
2024-01-26T03:20:00,37.144,1.001,2525.625,365.532
2024-01-26T03:25:00,35.142,0.997,2056.235,383.291
2024-01-26T03:30:00,30.159,0.991,1625.493,263.521
2024-01-26T03:35:00,36.237,1.001,4024.032,327.78
2024-01-26T03:40:00,35.232,0.947,4090.387,544.004
2024-01-26T03:45:00,35.217,0.925,3993.225,340.815
2024-01-26T03:50:00,38.794,0.987,2844.402,314.188
2024-01-26T03:55:00,36.118,0.981,2799.22,412.182
2024-01-26T04:00:00,35.432,0.988,2893.999,428.914
2024-01-26T04:05:00,37.477,1.0,4244.398,326.643
2024-01-26T04:10:00,30.044,0.938,2036.662,233.594
2024-01-26T04:15:00,40.403,1.004,2876.509,421.616
2024-01-26T04:20:00,40.945,0.981,2853.268,483.899
2024-01-26T04:25:00,43.294,0.932,4818.14,546.375
2024-01-26T04:30:00,38.527,0.974,2216.224,395.335
2024-01-26T04:35:00,42.635,0.97,2959.26,513.401
2024-01-26T04:40:00,44.26,1.002,2329.934,330.712
2024-01-26T04:45:00,39.347,1.002,2316.058,214.001
2024-01-26T04:50:00,38.217,1.003,4804.97,362.781
2024-01-26T04:55:00,36.673,1.003,3091.518,391.754
2024-01-26T05:00:00,24.641,0.982,922.52,157.302
2024-01-26T05:05:00,23.297,1.005,1371.898,146.338
2024-01-26T05:10:00,27.921,1.0,1728.786,222.142
2024-01-26T05:15:00,31.617,0.979,2147.029,354.412
2024-01-26T05:20:00,28.38,1.002,2191.302,290.795
2024-01-26T05:25:00,39.19,0.954,2640.758,340.672
2024-01-26T05:30:00,36.42,0.998,2873.027,335.957
2024-01-26T05:35:00,33.058,1.003,1950.864,322.372
2024-01-26T05:40:00,22.518,0.954,1332.251,119.953
2024-01-26T05:45:00,28.87,0.912,2182.291,231.738
2024-01-26T05:50:00,20.117,1.002,1430.595,93.227
2024-01-26T05:55:00,23.05,1.002,1213.846,95.246
2024-01-26T06:00:00,30.375,1.003,2130.069,208.04
2024-01-26T06:05:00,44.232,0.916,2380.821,402.245
2024-01-26T06:10:00,46.357,0.967,2174.089,748.358
2024-01-26T06:15:00,46.965,0.952,2314.129,466.645
2024-01-26T06:20:00,50.597,0.953,3213.106,488.489
2024-01-26T06:25:00,46.961,0.962,4276.805,564.977
2024-01-26T06:30:00,51.161,0.937,3631.259,814.476
2024-01-26T06:35:00,47.024,0.985,2985.825,607.742
2024-01-26T06:40:00,45.901,0.931,4236.161,612.453
2024-01-26T06:45:00,38.263,0.895,1706.796,364.907
2024-01-26T06:50:00,35.766,0.986,1762.049,573.058
2024-01-26T06:55:00,44.427,0.986,3402.308,587.969
2024-01-26T07:00:00,39.117,0.99,2342.808,672.857
2024-01-26T07:05:00,39.559,1.002,2666.016,389.439
2024-01-26T07:10:00,40.519,1.003,3694.654,468.312
2024-01-26T07:15:00,32.71,0.989,1776.861,105.654
2024-01-26T07:20:00,34.228,0.985,2727.331,386.697
2024-01-26T07:25:00,32.942,0.99,3306.616,225.842
2024-01-26T07:30:00,30.61,0.989,1431.867,373.531
2024-01-26T07:35:00,36.78,0.946,2922.161,546.443
2024-01-26T07:40:00,36.996,0.97,1166.996,448.445
2024-01-26T07:45:00,40.698,0.997,3478.637,376.668
2024-01-26T07:50:00,38.79,0.993,3412.075,373.993
2024-01-26T07:55:00,40.562,0.968,3782.24,428.651
2024-01-26T08:00:00,38.129,0.987,2112.713,383.98
2024-01-26T08:05:00,36.675,0.926,2825.363,449.764
