timestamp,rmssd,coverage,low_frequency,high_frequency
2024-01-28T00:00:00,23.585,0.93,731.54,122.032
2024-01-28T00:05:00,29.27,0.993,2609.597,307.429
2024-01-28T00:10:00,21.422,0.983,1039.346,159.029
2024-01-28T00:15:00,21.797,0.902,782.015,188.137
2024-01-28T00:20:00,36.178,1.004,2327.182,351.329
2024-01-28T00:25:00,34.774,0.93,2501.15,411.155
2024-01-28T00:30:00,18.849,0.991,513.332,157.279
2024-01-28T00:35:00,29.269,0.987,2929.585,305.949
2024-01-28T00:40:00,32.732,0.966,1807.831,426.042
2024-01-28T00:45:00,25.936,0.995,675.79,283.184
2024-01-28T00:50:00,25.682,0.999,1166.526,289.179
2024-01-28T00:55:00,26.28,0.919,1185.991,272.065
2024-01-28T01:00:00,36.624,1.001,3796.797,408.826
2024-01-28T01:05:00,21.822,0.897,883.633,170.718
2024-01-28T01:10:00,21.546,0.98,1716.582,220.545
2024-01-28T01:15:00,34.733,0.961,2547.784,320.117
2024-01-28T01:20:00,35.304,0.923,3234.377,252.87
2024-01-28T01:25:00,39.273,0.966,1564.493,490.852
2024-01-28T01:30:00,33.653,0.959,3389.094,390.926
2024-01-28T01:35:00,24.324,1.002,798.865,274.261
2024-01-28T01:40:00,44.796,0.896,2244.342,425.0
2024-01-28T01:45:00,51.247,0.907,2910.158,323.609
2024-01-28T01:50:00,39.678,0.934,2232.532,424.95
2024-01-28T01:55:00,32.122,0.958,4561.342,229.54
2024-01-28T02:00:00,37.98,0.98,3074.171,394.227
2024-01-28T02:05:00,29.766,0.976,2801.491,253.176
2024-01-28T02:10:00,37.673,0.949,3201.518,302.276
2024-01-28T02:15:00,35.749,0.951,2896.432,494.199
2024-01-28T02:20:00,43.396,0.948,5365.442,437.116
2024-01-28T02:25:00,33.0,0.993,2158.713,247.767
2024-01-28T02:30:00,35.521,0.989,4062.346,282.971
2024-01-28T02:35:00,32.738,1.003,1453.895,341.745
2024-01-28T02:40:00,50.788,0.926,6293.702,465.735
2024-01-28T02:45:00,49.793,0.985,3848.293,551.359
2024-01-28T02:50:00,50.29,0.937,6229.116,558.18
2024-01-28T02:55:00,48.595,0.949,2211.452,675.028
2024-01-28T03:00:00,52.609,0.99,6414.486,555.45
2024-01-28T03:05:00,44.795,0.996,3317.786,494.113
2024-01-28T03:10:00,53.42,0.905,4399.394,654.37
2024-01-28T03:15:00,51.531,0.89,4748.116,647.723
2024-01-28T03:20:00,43.041,0.93,4305.265,278.146
2024-01-28T03:25:00,46.865,0.926,5390.55,667.402
2024-01-28T03:30:00,36.11,0.964,2579.223,262.658
2024-01-28T03:35:00,27.516,1.003,2506.636,223.49
2024-01-28T03:40:00,29.327,1.002,2554.057,246.58
2024-01-28T03:45:00,42.344,0.984,3622.936,348.516
2024-01-28T03:50:00,45.559,1.003,6525.383,466.071
2024-01-28T03:55:00,62.954,0.933,5647.122,651.01
2024-01-28T04:00:00,52.284,0.903,6543.367,625.224
2024-01-28T04:05:00,47.771,0.918,3471.766,637.389
2024-01-28T04:10:00,53.353,0.991,5331.271,666.263
2024-01-28T04:15:00,41.94,0.997,4826.683,433.295
2024-01-28T04:20:00,34.081,1.003,2285.636,328.552
2024-01-28T04:25:00,32.363,0.994,1142.824,273.932
2024-01-28T04:30:00,42.455,0.857,3112.249,441.87
2024-01-28T04:35:00,52.31,0.996,7692.457,467.512
2024-01-28T04:40:00,40.707,0.912,3630.585,313.092
2024-01-28T04:45:00,33.664,1.003,1382.046,290.398
2024-01-28T04:50:00,30.34,0.959,1153.371,352.765
2024-01-28T04:55:00,41.375,0.753,4461.055,426.601
2024-01-28T05:00:00,54.154,0.901,3826.669,762.263
2024-01-28T05:05:00,56.668,0.787,2448.09,602.697
2024-01-28T05:10:00,33.959,1.002,2018.753,157.233
2024-01-28T05:15:00,35.541,1.004,2424.727,372.709
2024-01-28T05:20:00,31.372,1.001,1371.58,192.272
2024-01-28T05:25:00,36.784,1.002,2925.86,309.413
2024-01-28T05:30:00,51.618,0.918,3731.501,537.095
2024-01-28T05:35:00,54.493,0.928,4915.949,423.214
2024-01-28T05:40:00,53.376,0.92,5952.866,758.861
2024-01-28T05:45:00,57.621,0.933,5515.026,496.978
2024-01-28T05:50:00,61.379,0.897,4298.265,414.724
2024-01-28T05:55:00,45.016,0.986,3860.689,353.549
2024-01-28T06:00:00,48.491,0.944,4500.561,510.32
2024-01-28T06:05:00,51.86,0.925,6342.976,512.001
2024-01-28T06:10:00,42.079,0.927,3891.331,477.499
2024-01-28T06:15:00,54.519,0.993,6766.84,541.508
2024-01-28T06:20:00,34.11,0.995,1904.468,202.023
2024-01-28T06:25:00,26.211,1.004,1635.177,210.708
2024-01-28T06:30:00,44.429,0.957,5081.326,911.018
2024-01-28T06:35:00,36.809,0.985,3955.427,350.036
2024-01-28T06:40:00,38.176,1.003,3393.572,313.642
2024-01-28T06:45:00,52.265,0.998,4198.419,575.436
2024-01-28T06:50:00,50.672,0.9,5539.236,583.181
2024-01-28T06:55:00,75.492,0.793,7505.698,1260.913
2024-01-28T07:00:00,68.275,0.978,4071.261,1172.919
2024-01-28T07:05:00,57.397,0.893,3501.375,1106.641
2024-01-28T07:10:00,35.973,0.963,838.167,486.894
2024-01-28T07:15:00,42.757,0.91,1247.204,861.15
2024-01-28T07:20:00,52.872,0.965,2515.213,1845.391
2024-01-28T07:25:00,44.967,0.966,3964.066,498.948
2024-01-28T07:30:00,50.829,0.97,4394.907,925.246
