timestamp,rmssd,coverage,low_frequency,high_frequency
2024-01-25T00:00:00,28.36,0.924,9963.509,227.896
2024-01-25T00:05:00,14.614,0.93,1667.802,58.934
2024-01-25T00:10:00,12.932,0.997,742.426,73.182
2024-01-25T00:15:00,16.496,1.004,1121.989,71.822
2024-01-25T00:20:00,15.465,0.975,770.697,48.998
2024-01-25T00:25:00,14.283,0.997,910.662,48.709
2024-01-25T00:30:00,20.957,0.991,1554.42,153.18
2024-01-25T00:35:00,24.71,0.961,1692.509,194.78
2024-01-25T00:40:00,25.749,0.979,2114.674,167.779
2024-01-25T00:45:00,30.005,0.942,1939.542,200.424
2024-01-25T00:50:00,32.107,0.954,2074.938,329.247
2024-01-25T00:55:00,35.421,0.94,2459.985,260.497
2024-01-25T01:00:00,41.578,0.909,4285.821,228.212
2024-01-25T01:05:00,32.739,0.982,1917.871,200.026
2024-01-25T01:10:00,29.174,0.984,1340.831,313.283
2024-01-25T01:15:00,39.664,0.974,2946.063,526.002
2024-01-25T01:20:00,34.056,1.004,1807.889,304.636
2024-01-25T01:25:00,31.627,1.002,1551.518,256.623
2024-01-25T01:30:00,49.552,0.957,6248.586,443.619
2024-01-25T01:35:00,34.258,0.99,1664.713,187.137
2024-01-25T01:40:00,47.415,0.941,3552.124,256.003
2024-01-25T01:45:00,47.299,0.825,7363.509,241.788
2024-01-25T01:50:00,32.286,0.99,1136.663,115.752
2024-01-25T01:55:00,44.044,0.884,4553.716,268.537
2024-01-25T02:00:00,55.798,1.002,8650.731,290.97
2024-01-25T02:05:00,46.324,0.978,4315.869,518.226
2024-01-25T02:10:00,36.179,0.997,1964.295,345.208
2024-01-25T02:15:00,40.273,0.998,5468.276,267.82
2024-01-25T02:20:00,39.033,0.995,2196.102,343.659
2024-01-25T02:25:00,38.194,0.988,3191.303,464.944
2024-01-25T02:30:00,45.544,1.004,6588.996,438.742
2024-01-25T02:35:00,42.424,1.002,1727.927,445.147
2024-01-25T02:40:00,41.185,1.002,2900.019,454.314
2024-01-25T02:45:00,34.83,1.005,1773.192,287.599
2024-01-25T02:50:00,45.945,0.938,5599.847,390.145
2024-01-25T02:55:00,50.859,0.97,13839.698,226.877
2024-01-25T03:00:00,60.04,0.953,12307.702,569.985
2024-01-25T03:05:00,41.887,0.827,3182.308,354.703
2024-01-25T03:10:00,37.408,0.885,1645.122,251.108
2024-01-25T03:15:00,21.377,0.959,649.446,92.015
2024-01-25T03:20:00,24.757,1.002,1512.628,150.355
2024-01-25T03:25:00,32.282,0.985,2823.671,226.153
2024-01-25T03:30:00,35.77,0.975,2136.662,203.478
2024-01-25T03:35:00,24.384,0.995,709.903,96.033
2024-01-25T03:40:00,26.647,0.989,3110.198,189.116
2024-01-25T03:45:00,27.958,0.991,2778.429,222.558
2024-01-25T03:50:00,45.186,0.926,4235.713,481.851
2024-01-25T03:55:00,42.431,0.916,3681.49,201.464
2024-01-25T04:00:00,43.624,0.977,5223.029,276.219
2024-01-25T04:05:00,36.554,0.94,6473.23,269.233
2024-01-25T04:10:00,40.464,0.962,5470.182,325.946
2024-01-25T04:15:00,45.415,0.968,3528.054,445.722
2024-01-25T04:20:00,38.387,0.947,2492.385,276.208
2024-01-25T04:25:00,43.06,0.94,1820.283,333.776
2024-01-25T04:30:00,34.678,0.945,817.689,354.159
2024-01-25T04:35:00,34.564,0.953,2310.224,285.668
2024-01-25T04:40:00,38.853,0.965,3704.999,567.379
2024-01-25T04:45:00,33.845,0.978,1451.603,315.139
2024-01-25T04:50:00,42.307,0.926,2492.691,384.366
2024-01-25T04:55:00,39.182,0.963,3114.771,466.627
2024-01-25T05:00:00,40.639,0.976,7516.031,580.348
2024-01-25T05:05:00,41.028,0.917,1844.89,378.402
2024-01-25T05:10:00,52.377,0.979,3237.014,362.467
2024-01-25T05:15:00,50.799,0.934,10366.202,437.552
2024-01-25T05:20:00,34.768,0.986,1044.52,270.98
2024-01-25T05:25:00,38.621,0.92,1511.844,419.464
2024-01-25T05:30:00,36.704,0.994,2303.514,257.17
2024-01-25T05:35:00,35.787,0.971,1933.104,349.029
2024-01-25T05:40:00,22.342,0.998,1492.189,137.778
2024-01-25T05:45:00,24.21,1.001,1302.513,125.34
2024-01-25T05:50:00,34.796,0.925,2625.443,197.303
2024-01-25T05:55:00,34.067,1.002,1220.711,427.761
2024-01-25T06:00:00,40.025,0.97,2757.712,369.251
2024-01-25T06:05:00,40.785,0.973,4022.749,460.843
2024-01-25T21:05:00,12.848,0.887,130.539,52.24
2024-01-25T21:10:00,16.034,0.939,370.67,83.596
2024-01-25T21:15:00,9.59,0.975,100.576,25.461
2024-01-25T21:20:00,10.845,0.976,133.693,49.997
2024-01-25T21:25:00,13.812,0.956,462.853,75.873
2024-01-25T21:30:00,20.825,0.949,916.605,207.225
2024-01-25T21:35:00,22.662,0.962,621.929,211.125
2024-01-25T21:40:00,24.021,0.978,2155.519,280.644
2024-01-25T21:45:00,26.106,0.955,1372.765,366.426
2024-01-25T21:50:00,17.312,0.941,484.832,120.725
2024-01-25T21:55:00,11.272,0.946,84.737,68.755
2024-01-25T22:00:00,16.036,0.977,345.081,87.931
2024-01-25T22:05:00,20.904,0.973,666.985,186.105
2024-01-25T22:10:00,18.686,1.001,473.617,164.22
2024-01-25T22:15:00,15.301,0.988,450.447,126.139
2024-01-25T22:20:00,11.637,0.947,238.565,54.644
2024-01-25T22:25:00,13.582,0.879,439.271,69.892
2024-01-25T22:30:00,17.521,0.985,545.161,120.528
2024-01-25T22:35:00,23.828,0.983,763.937,233.818
2024-01-25T22:40:00,16.274,0.908,576.153,111.488
2024-01-25T22:45:00,18.13,0.958,503.967,175.053
2024-01-25T22:50:00,16.548,0.89,743.482,67.939
2024-01-25T22:55:00,10.22,0.978,145.51,35.171
2024-01-25T23:00:00,11.133,0.912,138.856,48.859
2024-01-25T23:05:00,13.98,0.941,264.49,107.524
2024-01-25T23:10:00,15.01,0.945,658.127,90.417
2024-01-25T23:15:00,10.718,0.984,161.7,59.327
2024-01-25T23:20:00,14.052,0.88,360.257,83.575
2024-01-25T23:25:00,19.239,0.974,1109.749,161.473
2024-01-25T23:30:00,26.3,0.875,1734.564,241.915
2024-01-25T23:35:00,21.313,0.892,1046.183,159.348
2024-01-25T23:40:00,15.865,0.906,514.834,73.976
2024-01-25T23:45:00,10.757,0.911,185.222,57.273
2024-01-25T23:50:00,25.77,0.896,1029.773,244.359
2024-01-25T23:55:00,20.996,0.988,809.299,203.659
