timestamp,Infrared to Red Signal Ratio
01/27/24 08:07:00,22
01/27/24 08:08:00,10
01/27/24 08:09:00,-10
01/27/24 08:10:00,4
01/27/24 08:11:00,1
01/27/24 08:12:00,0
01/27/24 15:05:30,-33
01/27/24 15:06:30,4
01/27/24 15:07:30,30
01/27/24 15:08:30,0
01/27/24 15:09:30,0
01/27/24 15:10:30,15
01/27/24 15:11:30,4
01/27/24 15:12:30,9
01/27/24 15:13:30,0
01/27/24 15:14:30,27
01/27/24 16:15:31,-3
01/27/24 16:16:31,28
01/27/24 16:17:31,0
01/27/24 16:18:31,-15
01/27/24 16:19:31,-6
01/27/24 16:20:31,-4
01/27/24 16:21:31,20
01/27/24 16:58:00,48
01/27/24 16:59:00,26
01/27/24 17:00:00,39
01/27/24 17:01:00,8
01/27/24 17:02:00,8
01/27/24 17:03:00,9
01/27/24 17:04:00,36
01/27/24 17:05:00,5
01/27/24 17:06:00,0
01/27/24 17:07:00,7
01/27/24 17:08:00,24
01/27/24 17:09:00,-10
01/27/24 17:10:00,0
01/27/24 17:11:00,3
01/27/24 17:12:00,0
01/27/24 17:13:00,-43
01/27/24 17:14:00,-13
01/27/24 17:15:00,20
01/27/24 17:16:00,10
01/27/24 17:17:00,4
01/27/24 17:18:00,-17
01/27/24 17:19:00,0
01/27/24 17:20:00,-11
01/27/24 17:21:00,34
01/27/24 17:22:00,30
01/27/24 17:23:00,21
01/27/24 17:24:00,0
01/27/24 17:25:00,55
01/27/24 17:26:00,4
01/27/24 17:27:00,26
01/27/24 17:28:00,56
01/27/24 17:29:00,0
01/27/24 17:30:00,3
01/27/24 17:31:00,-3
01/27/24 17:32:00,11
01/27/24 17:33:00,-4
01/27/24 17:34:00,26
01/27/24 17:35:00,0
01/27/24 17:36:00,-74
01/27/24 17:37:00,0
01/27/24 17:38:00,-15
01/27/24 17:39:00,4
01/27/24 17:40:00,1
01/27/24 17:41:00,2
01/27/24 17:42:00,0
01/27/24 17:43:00,10
01/27/24 17:44:00,2
01/27/24 17:45:58,-1
01/27/24 17:46:58,-3
01/27/24 17:47:58,-5
01/27/24 17:48:58,-1
01/27/24 17:49:58,-2
01/27/24 21:03:31,21
01/27/24 21:04:31,-7
01/27/24 21:05:31,0
01/27/24 21:06:31,-13
01/27/24 21:07:31,3
01/27/24 21:08:31,1
01/27/24 21:09:31,0
01/27/24 21:10:31,26
01/27/24 21:11:31,3
01/27/24 21:12:31,0
01/27/24 21:13:31,-14
01/27/24 21:14:31,-14
01/27/24 21:15:31,-1
01/27/24 21:16:31,8
01/27/24 21:17:31,0
01/27/24 21:18:31,0
01/27/24 21:19:31,-2
01/27/24 21:20:31,4
01/27/24 21:21:31,-16
01/27/24 21:22:31,-3
01/27/24 21:23:31,8
01/27/24 21:24:31,-32
01/27/24 21:25:31,0
01/27/24 21:26:31,-4
01/27/24 21:27:31,-3
01/27/24 21:28:31,12
01/27/24 21:29:31,0
01/27/24 21:30:31,2
01/27/24 21:31:31,-4
01/27/24 21:32:31,0
01/27/24 21:33:31,-28
01/27/24 21:34:31,1
01/27/24 21:35:31,-61
01/27/24 21:36:31,0
01/27/24 21:37:31,-3
01/27/24 21:38:31,1
01/27/24 21:39:31,0
01/27/24 21:40:31,13
01/27/24 21:41:31,4
01/27/24 21:42:31,-15
01/27/24 21:43:31,0
01/27/24 21:44:31,-32
01/27/24 21:45:31,7
01/27/24 21:46:31,27
01/27/24 21:47:31,0
01/27/24 21:48:31,-1
01/27/24 21:49:31,0
