timestamp,Infrared to Red Signal Ratio
03/15/25 05:33:30,-16
03/15/25 05:34:30,0
03/15/25 05:35:30,-5
03/15/25 05:36:59,0
03/15/25 05:38:00,-13
03/15/25 05:39:00,0
03/15/25 05:40:00,42
03/15/25 05:41:00,4
03/15/25 15:38:01,4
03/15/25 15:39:01,0
03/15/25 15:40:01,-2
03/15/25 15:41:01,33
03/15/25 15:42:01,8
03/15/25 15:43:01,-4
03/15/25 15:44:01,-4
03/15/25 15:57:00,0
03/15/25 15:58:00,5
03/15/25 15:59:00,-9
03/15/25 16:00:00,0
03/15/25 16:01:00,-6
03/15/25 16:02:00,0
03/15/25 16:03:00,-36
03/15/25 16:04:00,11
03/15/25 16:05:00,41
03/15/25 16:06:00,-8
03/15/25 16:07:00,33
03/15/25 16:08:00,0
03/15/25 16:09:00,4
03/15/25 16:10:00,30
03/15/25 16:11:00,-3
03/15/25 16:12:00,4
03/15/25 16:13:00,-5
03/15/25 16:14:00,-13
03/15/25 16:15:00,-1
03/15/25 16:16:00,0
03/15/25 16:17:00,16
03/15/25 16:18:00,0
03/15/25 16:19:00,0
03/15/25 16:20:00,-4
03/15/25 16:21:00,0
03/15/25 16:22:01,0
03/15/25 16:23:01,-34
03/15/25 16:24:01,0
03/15/25 16:25:01,-3
03/15/25 16:26:01,38
03/15/25 16:27:01,-7
03/15/25 16:28:02,-10
03/15/25 16:29:02,5
03/15/25 16:30:02,6
03/15/25 16:31:02,0
03/15/25 16:32:02,1
03/15/25 16:33:02,-11
03/15/25 16:34:02,0
03/15/25 16:35:02,2
03/15/25 16:36:02,-6
03/15/25 16:37:02,0
03/15/25 16:38:02,0
03/15/25 16:39:02,18
03/15/25 16:40:02,2
03/15/25 16:41:02,-2
03/15/25 16:42:02,0
03/15/25 16:43:02,-2
03/15/25 16:44:02,1
03/15/25 16:45:02,-2
03/15/25 16:46:02,30
03/15/25 16:47:02,0
03/15/25 16:48:02,-14
03/15/25 16:49:02,10
03/15/25 16:50:02,1
03/15/25 16:51:02,0
03/15/25 16:52:02,15
03/15/25 16:53:02,-6
03/15/25 16:54:02,13
03/15/25 16:55:02,-2
03/15/25 16:56:02,0
03/15/25 16:57:02,4
03/15/25 16:58:02,-30
03/15/25 16:59:02,0
03/15/25 17:00:02,-36
03/15/25 17:01:02,0
